key,text:it,ipa:it,audio:it,audio source:it,tags:it
the child,il bambino,/il bamˈbi.no/,[sound:al_it_it_il_bambino.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-O,AnkiLangs::IT
the church,la chiesa,/la ˈkjɛːza/,[sound:al_it_it_la_chiesa.mp3],Google Cloud TTS,AnkiLangs::IT
the circle,,,,,AnkiLangs::IT
the city,la città,/la tʃitˈta/,[sound:al_it_it_la_citt.mp3],Google Cloud TTS,AnkiLangs::IT
the clock,,,,,AnkiLangs::IT
the clothing,l'abbigliamento,/labbiʎʎaˈmento/,[sound:al_it_it_l_abbigliamento.mp3],Google Cloud TTS,AnkiLangs::IT
the club,il club,/il ˈklub/,[sound:al_it_it_il_club.mp3],Google Cloud TTS,AnkiLangs::IT
the coat,il cappotto,/il kapˈpɔtːto/,[sound:al_it_it_il_cappotto.mp3],Google Cloud TTS,AnkiLangs::IT
the color,il colore,/il koˈloːre/,[sound:al_it_it_il_colore.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-O,AnkiLangs::IT
the computer,,,,,AnkiLangs::IT
the consonant,,,,,AnkiLangs::IT
the contract,,,,,AnkiLangs::IT
the corn,,,,,AnkiLangs::IT
the corner,,,,,AnkiLangs::IT
"the country (USA, France, etc.)",il paese; la nazione,/il paˈɛze/ /la natˈt͡sjo.ne/,[sound:al_it_it_il_paese_la_nazione.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-D,AnkiLangs::IT
the court,il tribunale,/il tribuˈnale/,[sound:al_it_it_il_tribunale.mp3],Google Cloud TTS,AnkiLangs::IT
the cow,la mucca,/la ˈmukka/,[sound:al_it_it_la_mucca.mp3],Google Cloud TTS,AnkiLangs::IT
the crowd,la folla,/la ˈfol.la/,[sound:al_it_it_la_folla.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-D,AnkiLangs::IT
the cup,,,,,AnkiLangs::IT
the date,,,,,AnkiLangs::IT
the daughter,la figlia,/la ˈfiʎ.ʎa/,[sound:al_it_it_la_figlia.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-O,AnkiLangs::IT
the day,,,,,AnkiLangs::IT
the direction,,,,,AnkiLangs::IT
the doctor,,,,,AnkiLangs::IT
the dog,il cane,/il ˈkane/,[sound:al_it_it_il_cane.mp3],Google Cloud TTS,AnkiLangs::IT
the dollar,,,,,AnkiLangs::IT
the door,,,,,AnkiLangs::IT
the dot,,,,,AnkiLangs::IT
the dream,,,,,AnkiLangs::IT
the dress,il vestito,/il vesˈtiːto/,[sound:al_it_it_il_vestito.mp3],Google Cloud TTS,AnkiLangs::IT
the drug,,,,,AnkiLangs::IT
the ear,,,,,AnkiLangs::IT
the east,,,,,AnkiLangs::IT
the edge,,,,,AnkiLangs::IT
the egg,,,,,AnkiLangs::IT
the election,,,,,AnkiLangs::IT
the engine,il motore,/il moˈtoːre/,[sound:al_it_it_il_motore.mp3],Google Cloud TTS,AnkiLangs::IT
the evening,,,,,AnkiLangs::IT
the eye,,,,,AnkiLangs::IT
the face,,,,,AnkiLangs::IT
the Fall,,,,,AnkiLangs::IT
the family,la famiglia,/la faˈmiʎ.ʎa/,[sound:al_it_it_la_famiglia.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-D,AnkiLangs::IT
the fan [appliance],,,,,AnkiLangs::IT
the fan [person],il tifoso,/il tiˈfo.so/,[sound:al_it_it_il_tifoso.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-O,AnkiLangs::IT
the farm,la fattoria,/la fattoˈria/,[sound:al_it_it_la_fattoria.mp3],Google Cloud TTS,AnkiLangs::IT
the father,il padre,/il ˈpa.dre/,[sound:al_it_it_il_padre.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-D,AnkiLangs::IT
the finger,,,,,AnkiLangs::IT
the fire,,,,,AnkiLangs::IT
the fish,il pesce,/il ˈpeʃe/,[sound:al_it_it_il_pesce.mp3],Google Cloud TTS,AnkiLangs::IT
the floor,,,,,AnkiLangs::IT
the flower,,,,,AnkiLangs::IT
the foot,,,,,AnkiLangs::IT
the foot [measurement],,,,,AnkiLangs::IT
the forest,,,,,AnkiLangs::IT
the fork,,,,,AnkiLangs::IT
the friend,l'amico,/laˈmi.ko/,[sound:al_it_it_l_amico.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-D,AnkiLangs::IT
the front,,,,,AnkiLangs::IT
the game,,,,,AnkiLangs::IT
the garden,,,,,AnkiLangs::IT
the gasoline,la benzina,/la benˈdziːna/,[sound:al_it_it_la_benzina.mp3],Google Cloud TTS,AnkiLangs::IT
the gift,,,,,AnkiLangs::IT
the girl,la ragazza,/la raˈɡat.tsa/,[sound:al_it_it_la_ragazza.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-D,AnkiLangs::IT
the grandfather,il nonno,/il ˈnon.no/,[sound:al_it_it_il_nonno.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-O,AnkiLangs::IT
the grandmother,la nonna,/la ˈnon.na/,[sound:al_it_it_la_nonna.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-D,AnkiLangs::IT
the grass,,,,,AnkiLangs::IT
the ground,il terreno,/il terˈreːno/,[sound:al_it_it_il_terreno.mp3],Google Cloud TTS,AnkiLangs::IT
the gun,,,,,AnkiLangs::IT
the hair,,,,,AnkiLangs::IT
the half,,,,,AnkiLangs::IT
the hand,,,,,AnkiLangs::IT
the hat,il cappello,/il kapˈpɛllo/,[sound:al_it_it_il_cappello.mp3],Google Cloud TTS,AnkiLangs::IT
the head,,,,,AnkiLangs::IT
the heart,,,,,AnkiLangs::IT
the heat,,,,,AnkiLangs::IT
the hill,,,,,AnkiLangs::IT
