key,text:sq,ipa:sq,audio:sq,audio source:sq,tags:sq
to drink,,,,,AnkiLangs::SQ
to kill,,,,,AnkiLangs::SQ
to die,,,,,AnkiLangs::SQ
to smile,,,,,AnkiLangs::SQ
to laugh,,,,,AnkiLangs::SQ
to cry,,,,,AnkiLangs::SQ
to buy,,,,,AnkiLangs::SQ
to pay,,,,,AnkiLangs::SQ
to sell,,,,,AnkiLangs::SQ
to shoot (a gun),,,,,AnkiLangs::SQ
to learn,,,,,AnkiLangs::SQ
to jump,,,,,AnkiLangs::SQ
to smell,,,,,AnkiLangs::SQ
to hear,,,,,AnkiLangs::SQ
to listen,,,,,AnkiLangs::SQ
to taste,,,,,AnkiLangs::SQ
to touch,,,,,AnkiLangs::SQ
to see,,,,,AnkiLangs::SQ
to watch,,,,,AnkiLangs::SQ
to kiss,,,,,AnkiLangs::SQ
to burn,,,,,AnkiLangs::SQ
to melt,,,,,AnkiLangs::SQ
to dig,,,,,AnkiLangs::SQ
to explode,,,,,AnkiLangs::SQ
to sit,,,,,AnkiLangs::SQ
to stand,,,,,AnkiLangs::SQ
to love,,,,,AnkiLangs::SQ
to pass by,,,,,AnkiLangs::SQ
to cut,,,,,AnkiLangs::SQ
to fight,,,,,AnkiLangs::SQ
to lie down,,,,,AnkiLangs::SQ
to dance,,,,,AnkiLangs::SQ
to sleep,,,,,AnkiLangs::SQ
to wake up,,,,,AnkiLangs::SQ
to sing,,,,,AnkiLangs::SQ
to count,,,,,AnkiLangs::SQ
to marry,,,,,AnkiLangs::SQ
to pray,,,,,AnkiLangs::SQ
to win,,,,,AnkiLangs::SQ
to lose,,,,,AnkiLangs::SQ
to mix / to stir,,,,,AnkiLangs::SQ
to bend,,,,,AnkiLangs::SQ
to wash,,,,,AnkiLangs::SQ
to cook,,,,,AnkiLangs::SQ
to open,,,,,AnkiLangs::SQ
to close,,,,,AnkiLangs::SQ
to write,,,,,AnkiLangs::SQ
to call,,,,,AnkiLangs::SQ
to turn,,,,,AnkiLangs::SQ
to build,,,,,AnkiLangs::SQ
to teach,,,,,AnkiLangs::SQ
to grow,,,,,AnkiLangs::SQ
to draw,,,,,AnkiLangs::SQ
to feed,,,,,AnkiLangs::SQ
to catch,,,,,AnkiLangs::SQ
to throw,,,,,AnkiLangs::SQ
to clean,,,,,AnkiLangs::SQ
to find,,,,,AnkiLangs::SQ
to fall,,,,,AnkiLangs::SQ
to push,,,,,AnkiLangs::SQ
to pull,,,,,AnkiLangs::SQ
to carry,,,,,AnkiLangs::SQ
to break,,,,,AnkiLangs::SQ
to wear,,,,,AnkiLangs::SQ
to hang,,,,,AnkiLangs::SQ
to shake,,,,,AnkiLangs::SQ
to sign,,,,,AnkiLangs::SQ
to beat,,,,,AnkiLangs::SQ
to lift,,,,,AnkiLangs::SQ
long,,,,,AnkiLangs::SQ
"short [opposite of ""long""]",,,,,AnkiLangs::SQ
tall,,,,,AnkiLangs::SQ
"short [opposite of ""tall""]",,,,,AnkiLangs::SQ
wide,,,,,AnkiLangs::SQ
narrow,,,,,AnkiLangs::SQ
big / large,,,,,AnkiLangs::SQ
small / little,,,,,AnkiLangs::SQ
slow,,,,,AnkiLangs::SQ
fast,,,,,AnkiLangs::SQ
hot,,,,,AnkiLangs::SQ
cold,,,,,AnkiLangs::SQ
warm,,,,,AnkiLangs::SQ
cool,,,,,AnkiLangs::SQ
new,,,,,AnkiLangs::SQ
"old [opposite of ""new""]",,,,,AnkiLangs::SQ
young,,,,,AnkiLangs::SQ
"old [opposite of ""young""]",,,,,AnkiLangs::SQ
good,,,,,AnkiLangs::SQ
bad,,,,,AnkiLangs::SQ
wet,,,,,AnkiLangs::SQ
dry,,,,,AnkiLangs::SQ
sick,,,,,AnkiLangs::SQ
healthy,,,,,AnkiLangs::SQ
loud,,,,,AnkiLangs::SQ
quiet,,,,,AnkiLangs::SQ
happy,,,,,AnkiLangs::SQ
sad,,,,,AnkiLangs::SQ
beautiful,,,,,AnkiLangs::SQ
ugly,,,,,AnkiLangs::SQ
deaf,,,,,AnkiLangs::SQ
blind,,,,,AnkiLangs::SQ
nice,,,,,AnkiLangs::SQ
mean,,,,,AnkiLangs::SQ
rich,,,,,AnkiLangs::SQ
poor,,,,,AnkiLangs::SQ
thick,,,,,AnkiLangs::SQ
thin,,,,,AnkiLangs::SQ
expensive,,,,,AnkiLangs::SQ
cheap,,,,,AnkiLangs::SQ
flat,,,,,AnkiLangs::SQ
curved,,,,,AnkiLangs::SQ
male,,,,,AnkiLangs::SQ
female,,,,,AnkiLangs::SQ
tight,,,,,AnkiLangs::SQ
loose,,,,,AnkiLangs::SQ
high,,,,,AnkiLangs::SQ
low,,,,,AnkiLangs::SQ
soft,,,,,AnkiLangs::SQ
hard,,,,,AnkiLangs::SQ
deep,,,,,AnkiLangs::SQ
shallow,,,,,AnkiLangs::SQ
clean,,,,,AnkiLangs::SQ
dirty,,,,,AnkiLangs::SQ
strong,,,,,AnkiLangs::SQ
weak,,,,,AnkiLangs::SQ
dead,,,,,AnkiLangs::SQ
alive,,,,,AnkiLangs::SQ
