key,text:la,ipa:la,audio:la,audio source:la,tags:la
cheap,,,,,AnkiLangs::LA
flat,,,,,AnkiLangs::LA
curved,,,,,AnkiLangs::LA
male,,,,,AnkiLangs::LA
female,,,,,AnkiLangs::LA
tight,,,,,AnkiLangs::LA
loose,,,,,AnkiLangs::LA
high,,,,,AnkiLangs::LA
low,,,,,AnkiLangs::LA
soft,,,,,AnkiLangs::LA
hard,,,,,AnkiLangs::LA
deep,,,,,AnkiLangs::LA
shallow,,,,,AnkiLangs::LA
clean,,,,,AnkiLangs::LA
dirty,,,,,AnkiLangs::LA
strong,,,,,AnkiLangs::LA
weak,,,,,AnkiLangs::LA
dead,,,,,AnkiLangs::LA
alive,,,,,AnkiLangs::LA
heavy,,,,,AnkiLangs::LA
"light [opposite of ""heavy""]",,,,,AnkiLangs::LA
dark,,,,,AnkiLangs::LA
"light [opposite of ""dark""]",,,,,AnkiLangs::LA
nuclear,,,,,AnkiLangs::LA
famous,,,,,AnkiLangs::LA
I,,,,,AnkiLangs::LA
you [singular],,,,,AnkiLangs::LA
he,,,,,AnkiLangs::LA
she,,,,,AnkiLangs::LA
it,,,,,AnkiLangs::LA
we,,,,,AnkiLangs::LA
"you [plural, y'all]",,,,,AnkiLangs::LA
they,,,,,AnkiLangs::LA
